comparison_kind,group_key,metric,condition_a,condition_b,n_subjects,mean_a,mean_b,delta_mean,median_a,median_b,delta_median,wilcoxon_stat,wilcoxon_pvalue,ttest_stat,ttest_pvalue,cohens_d,cliffs_delta,bootstrap_ci_low,bootstrap_ci_high,pvalue_adj,correction_method,reject_at_alpha
attention_vs_plain,target=lt1|feature_set=EMG|with_abs=False,abs_lt_err_median_sec,attention,plain,18,220.2153861932456,211.00316431423025,9.212221879015345,208.00373029708828,159.59406534433361,48.40966495275467,61.0,0.30379486083984375,1.0577789798227164,0.3049562153221918,0.24932089654307701,0.08024691358024691,-6.502021795246355,26.795849163515754,0.6075897216796875,fdr_bh,False
attention_vs_plain,target=lt1|feature_set=EMG|with_abs=True,abs_lt_err_median_sec,attention,plain,18,220.2153861932456,206.47008461091247,13.745301582333127,208.00373029708828,150.1064738035202,57.89725649356808,42.0,0.0599365234375,1.6958545759004262,0.10814806614487507,0.3997167568418094,0.06790123456790123,-0.7325307584255366,29.86303829592985,0.239044189453125,fdr_bh,False
attention_vs_plain,target=lt1|feature_set=EMG+NIRS|with_abs=False,abs_lt_err_median_sec,attention,plain,18,183.4376991093158,186.17668547663422,-2.7389863673184323,159.7279761433601,146.62858740091298,13.099388742447132,85.0,1.0,-0.2545668862525331,0.8021114768036967,-0.06000199051157022,0.012345679012345678,-22.439114919925807,16.455451965837064,1.0,fdr_bh,False
attention_vs_plain,target=lt1|feature_set=EMG+NIRS|with_abs=True,abs_lt_err_median_sec,attention,plain,18,179.39941037942967,192.65400251144104,-13.254592132011368,143.7001600265503,135.6727937703783,8.027366256172002,44.0,0.0736846923828125,-2.0296803029340516,0.05834190753057912,-0.47840023528181125,-0.09876543209876543,-25.393002922443447,-0.20461688976201095,0.239044189453125,fdr_bh,False
attention_vs_plain,target=lt1|feature_set=EMG+NIRS+HRV|with_abs=False,abs_lt_err_median_sec,attention,plain,18,161.80298351910375,159.79515500432908,2.0078285147746726,137.19518852233887,116.24450335502601,20.950685167312855,78.0,0.7660293579101562,0.1852716614084846,0.8552084324829219,0.043668949381212484,0.037037037037037035,-18.357750640354247,21.272858435122572,0.9708751331676136,fdr_bh,False
attention_vs_plain,target=lt1|feature_set=EMG+NIRS+HRV|with_abs=True,abs_lt_err_median_sec,attention,plain,18,168.43429277009432,176.18326366820713,-7.748970898112816,127.49717140197745,124.23031663894636,3.266854763031091,60.0,0.28372955322265625,-1.0149979895893977,0.3243357803193651,-0.23923732044312532,-0.018518518518518517,-21.998038482854195,5.320392570923174,0.6075897216796875,fdr_bh,False
attention_vs_plain,target=lt2|feature_set=EMG|with_abs=False,abs_lt_err_median_sec,attention,plain,17,171.624429324094,173.57204170016678,-1.947612376072783,110.09177231788635,152.55271730422973,-42.46094498634338,73.0,0.8899688720703125,-0.18881015626477007,0.8526157630989485,-0.04579318926288371,-0.05190311418685121,-20.654602893100048,18.604263938437594,0.9708751331676136,fdr_bh,False
attention_vs_plain,target=lt2|feature_set=EMG|with_abs=True,abs_lt_err_median_sec,attention,plain,17,171.624429324094,174.78294593025652,-3.1585166061625216,110.09177231788635,123.66579899787902,-13.57402667999267,68.0,0.7118988037109375,-0.35344709969927524,0.7283673096811359,-0.08572351324284282,-0.0657439446366782,-19.270829389936765,15.070781520745435,0.9708751331676136,fdr_bh,False
attention_vs_plain,target=lt2|feature_set=EMG+NIRS|with_abs=False,abs_lt_err_median_sec,attention,plain,17,179.28140973518867,170.63485036474813,8.646559370440542,134.83232879638692,129.56321716308616,5.269111633300753,73.0,0.8899688720703125,0.6497920857450038,0.5250466456302431,0.157597729659827,-0.058823529411764705,-14.40160168071885,36.38028501766129,0.9708751331676136,fdr_bh,False
attention_vs_plain,target=lt2|feature_set=EMG+NIRS|with_abs=True,abs_lt_err_median_sec,attention,plain,17,204.6106833289651,188.92340661497676,15.687276713988354,155.69865989685056,147.26152896881123,8.437130928039323,66.0,0.644134521484375,0.9926591725135431,0.3356519833176259,0.24075521285362125,-0.03806228373702422,-11.437650800575238,50.58893068825497,0.9708751331676136,fdr_bh,False
attention_vs_plain,target=lt2|feature_set=EMG+NIRS+HRV|with_abs=False,abs_lt_err_median_sec,attention,plain,17,165.33706941324115,138.95610109252087,26.380968320720285,152.7360153198242,134.10849704146375,18.62751827836044,39.0,0.079681396484375,2.158605012535916,0.046416426495500845,0.5235386159219597,0.17647058823529413,2.7193473770161964,51.193612022829385,0.239044189453125,fdr_bh,False
attention_vs_plain,target=lt2|feature_set=EMG+NIRS+HRV|with_abs=True,abs_lt_err_median_sec,attention,plain,17,145.58992396382723,127.24879256697261,18.34113139685462,116.62140846252441,110.49738006591797,6.124028396606448,39.0,0.079681396484375,1.9065599768182968,0.07469990444532522,0.462408715646882,0.12110726643598616,-0.37304097547251946,36.080098656082804,0.239044189453125,fdr_bh,False
attention_vs_plain,target=lt1|feature_set=EMG|with_abs=False,mae,attention,plain,18,219.2644658023457,224.17953316611988,-4.91506736377417,198.39173040997062,167.4315720086068,30.960158401363827,66.0,0.4171142578125,-0.5854630019766222,0.5659280015524852,-0.13799495294383415,0.0,-19.601367579993344,12.545274029525734,0.7839202880859375,fdr_bh,False
attention_vs_plain,target=lt1|feature_set=EMG|with_abs=True,mae,attention,plain,18,219.2644658023457,219.42207737380633,-0.15761157146062033,198.39173040997062,160.433880926405,37.95784948356561,80.0,0.83172607421875,-0.019591286938368167,0.9845975220225617,-0.004617710615430522,0.018518518518518517,-15.012232505713268,16.49491037824356,0.83172607421875,fdr_bh,False
attention_vs_plain,target=lt1|feature_set=EMG+NIRS|with_abs=False,mae,attention,plain,18,197.43812501246686,207.82108804894662,-10.382963036479765,163.19698736235824,171.98923505604176,-8.792247693683521,70.0,0.522613525390625,-1.0352328118111835,0.3150628601414086,-0.24400671377950162,-0.024691358024691357,-29.145108276881988,7.613208941473235,0.7839202880859375,fdr_bh,False
attention_vs_plain,target=lt1|feature_set=EMG+NIRS|with_abs=True,mae,attention,plain,18,193.37554177115794,214.64436540538117,-21.268823634223224,162.06969911878613,198.49545900353166,-36.42575988474553,28.0,0.010406494140625,-3.354349023850108,0.0037614665847969927,-0.7906276470769625,-0.11728395061728394,-32.91348293515592,-8.521347759006247,0.109405517578125,fdr_bh,False
attention_vs_plain,target=lt1|feature_set=EMG+NIRS+HRV|with_abs=False,mae,attention,plain,18,173.8097984745194,184.6669354734252,-10.857136998905816,142.97330989926303,148.84314407450424,-5.869834175241209,65.0,0.39273834228515625,-1.1618539502382903,0.26134797349246613,-0.27385160232062417,-0.012345679012345678,-28.568142016327812,6.194314221358391,0.7839202880859375,fdr_bh,False
attention_vs_plain,target=lt1|feature_set=EMG+NIRS+HRV|with_abs=True,mae,attention,plain,18,177.23404788160556,195.7799218166275,-18.545873935021945,137.22827223272938,159.361900540963,-22.133628308233625,32.0,0.0182342529296875,-2.4879474868059246,0.02352052373032535,-0.5864148463854992,-0.09876543209876543,-33.442777458422924,-5.477951166135578,0.109405517578125,fdr_bh,False
attention_vs_plain,target=lt2|feature_set=EMG|with_abs=False,mae,attention,plain,17,183.3537286997804,201.93034042707063,-18.576611727290242,141.26059479237483,198.85910623989253,-57.598511447517694,39.0,0.079681396484375,-1.9221456561713732,0.07257879626097313,-0.46618879813039643,-0.18339100346020762,-35.200139362480904,1.2192013043192436,0.239044189453125,fdr_bh,False
attention_vs_plain,target=lt2|feature_set=EMG|with_abs=True,mae,attention,plain,17,183.3537286997804,204.6142987475494,-21.260570047769022,141.26059479237483,192.21552217759464,-50.954927385219804,31.0,0.030517578125,-2.434569223994011,0.026992928631776457,-0.5904697684356076,-0.1972318339100346,-36.60847207713514,-3.7426687853793847,0.1220703125,fdr_bh,False
attention_vs_plain,target=lt2|feature_set=EMG+NIRS|with_abs=False,mae,attention,plain,17,190.6347740882798,193.60561970410808,-2.9708456158282672,176.5684232957605,160.04006956210102,16.528353733659486,61.0,0.4873809814453125,-0.2676291070888158,0.7924041503593677,-0.06490959276570163,-0.08650519031141868,-21.531173259822747,19.8880690551835,0.7839202880859375,fdr_bh,False
attention_vs_plain,target=lt2|feature_set=EMG+NIRS|with_abs=True,mae,attention,plain,17,209.36856474604014,202.76600169688473,6.602563049155407,185.9471055423382,185.98699470956083,-0.0398891672226398,71.0,0.8175811767578125,0.4442613062289983,0.6628037990451328,0.10774919358570784,-0.058823529411764705,-17.55924858145419,40.13785153947291,0.83172607421875,fdr_bh,False
attention_vs_plain,target=lt2|feature_set=EMG+NIRS+HRV|with_abs=False,mae,attention,plain,17,173.83464506963713,166.26016852291147,7.574476546725663,170.92333702305362,154.57587629397125,16.34746072908237,68.0,0.7118988037109375,0.6331154200589689,0.5356034613120576,0.15355304412414256,0.04498269896193772,-13.812490522476821,31.76960680129926,0.83172607421875,fdr_bh,False
attention_vs_plain,target=lt2|feature_set=EMG+NIRS+HRV|with_abs=True,mae,attention,plain,17,157.30652147731658,149.52912599491447,7.777395482402113,148.0282646492306,128.27560137607716,19.752663273153445,68.0,0.7118988037109375,1.0438842425832244,0.31205516394926114,0.2531791172405014,0.0034602076124567475,-5.630318218020397,23.219786478142886,0.83172607421875,fdr_bh,False
