variant,feature_set,target,subject_id,mae_ens_min,mae_tcn_min,mae_lin_min,best_alpha,best_expert
with_abs,EMG,lt2,S001,1.9592,6.0247,2.2913,0.2,linear
with_abs,EMG,lt2,S002,5.5441,4.0019,6.86,0.2,tcn
with_abs,EMG,lt2,S003,9.0785,6.6693,9.8161,0.2,tcn
with_abs,EMG,lt2,S004,8.8986,4.9038,11.1534,0.25,tcn
with_abs,EMG,lt2,S005,6.9974,5.6477,7.719,0.3,tcn
with_abs,EMG,lt2,S006,3.8425,3.8282,3.9997,0.25,tcn
with_abs,EMG,lt2,S008,1.3891,3.0388,1.2271,0.3,linear
with_abs,EMG,lt2,S009,9.4868,7.2527,10.9043,0.2,tcn
with_abs,EMG,lt2,S010,3.861,4.6323,4.3428,0.25,linear
with_abs,EMG,lt2,S011,3.3423,4.2939,3.0564,0.25,linear
with_abs,EMG,lt2,S012,2.3869,2.6236,3.5303,0.2,tcn
with_abs,EMG,lt2,S013,8.9626,5.4403,11.008,0.25,tcn
with_abs,EMG,lt2,S014,2.0039,5.0142,2.069,0.25,linear
with_abs,EMG,lt2,S016,1.3552,4.2271,1.7224,0.2,linear
with_abs,EMG,lt2,S017,3.3816,5.0572,3.0498,0.25,linear
with_abs,EMG,lt2,S018,2.162,1.7852,2.8858,0.25,tcn
with_abs,EMG,lt2,S019,7.0656,5.4094,8.2604,0.2,tcn
noabs,EMG,lt2,S001,1.9301,5.9324,2.2913,0.2,linear
noabs,EMG,lt2,S002,5.6085,4.1429,6.86,0.2,tcn
noabs,EMG,lt2,S003,8.8945,6.6042,9.8161,0.25,tcn
noabs,EMG,lt2,S004,9.3214,4.7997,11.1534,0.2,tcn
noabs,EMG,lt2,S005,6.8463,5.407,7.719,0.3,tcn
noabs,EMG,lt2,S006,3.7184,3.4334,3.9997,0.2,tcn
noabs,EMG,lt2,S008,1.3006,2.9979,1.2271,0.25,linear
noabs,EMG,lt2,S009,9.3523,7.3688,10.9043,0.2,tcn
noabs,EMG,lt2,S010,4.0289,5.09,4.3428,0.25,linear
noabs,EMG,lt2,S011,3.3155,4.2788,3.0564,0.25,linear
noabs,EMG,lt2,S012,2.4117,2.9526,3.5303,0.2,tcn
noabs,EMG,lt2,S013,9.1268,5.6977,11.008,0.25,tcn
noabs,EMG,lt2,S014,2.0503,4.4014,2.069,0.25,linear
noabs,EMG,lt2,S016,1.3806,2.9515,1.7224,0.15,linear
noabs,EMG,lt2,S017,3.3647,4.9857,3.0498,0.25,linear
noabs,EMG,lt2,S018,2.2841,1.7611,2.8858,0.25,tcn
noabs,EMG,lt2,S019,7.0768,5.88,8.2604,0.2,tcn
with_abs,NIRS,lt2,S001,6.7177,4.9098,7.0543,0.1,tcn
with_abs,NIRS,lt2,S002,2.4736,2.682,2.8768,0.15,tcn
with_abs,NIRS,lt2,S003,8.4536,4.8354,9.2265,0.1,tcn
with_abs,NIRS,lt2,S004,1.4299,2.4913,1.3342,0.15,linear
with_abs,NIRS,lt2,S005,4.5814,6.1382,4.5484,0.1,linear
with_abs,NIRS,lt2,S006,2.2123,2.9094,2.1423,0.15,linear
with_abs,NIRS,lt2,S008,1.8807,2.0967,2.0219,0.15,linear
with_abs,NIRS,lt2,S009,6.1385,7.7134,5.9298,0.15,linear
with_abs,NIRS,lt2,S010,4.5459,5.575,5.0351,0.15,linear
with_abs,NIRS,lt2,S011,4.063,3.1338,4.3004,0.1,tcn
with_abs,NIRS,lt2,S012,15.2257,2.4689,17.7211,0.15,tcn
with_abs,NIRS,lt2,S013,3.2744,4.1403,3.8162,0.15,linear
with_abs,NIRS,lt2,S014,3.3571,3.7778,3.2246,0.25,linear
with_abs,NIRS,lt2,S016,6.0039,4.0565,6.7555,0.15,tcn
with_abs,NIRS,lt2,S017,4.0608,4.823,4.2111,0.2,linear
with_abs,NIRS,lt2,S018,2.3659,2.4928,2.9309,0.15,tcn
with_abs,NIRS,lt2,S019,6.3572,5.928,6.4615,0.1,tcn
noabs,NIRS,lt2,S001,6.6095,5.3316,6.9265,0.1,tcn
noabs,NIRS,lt2,S002,1.8642,2.617,1.8436,0.05,linear
noabs,NIRS,lt2,S003,7.9083,5.1913,8.654,0.1,tcn
noabs,NIRS,lt2,S004,2.004,2.6336,2.0613,0.1,linear
noabs,NIRS,lt2,S005,4.1965,5.9267,4.1031,0.1,linear
noabs,NIRS,lt2,S006,2.1299,2.8801,2.0722,0.1,linear
noabs,NIRS,lt2,S008,1.9676,2.3054,2.0103,0.1,linear
noabs,NIRS,lt2,S009,5.3431,7.8104,4.9656,0.15,linear
noabs,NIRS,lt2,S010,3.9893,5.7304,4.2254,0.2,linear
noabs,NIRS,lt2,S011,3.0401,3.3859,3.0401,0.0,linear
noabs,NIRS,lt2,S012,10.513,2.4941,11.956,0.15,tcn
noabs,NIRS,lt2,S013,3.8243,4.7406,4.0309,0.05,linear
noabs,NIRS,lt2,S014,3.807,3.7457,3.9617,0.2,tcn
noabs,NIRS,lt2,S016,3.7362,3.8115,3.8009,0.1,linear
noabs,NIRS,lt2,S017,3.4631,4.8143,3.4202,0.05,linear
noabs,NIRS,lt2,S018,1.8887,2.222,2.1347,0.15,linear
noabs,NIRS,lt2,S019,5.5361,6.2946,5.462,0.1,linear
with_abs,EMG+NIRS,lt2,S001,7.5084,5.8791,7.9104,0.15,tcn
with_abs,EMG+NIRS,lt2,S002,2.5969,4.4851,2.715,0.15,linear
with_abs,EMG+NIRS,lt2,S003,9.8424,6.4199,10.5554,0.1,tcn
with_abs,EMG+NIRS,lt2,S004,3.7493,4.8866,3.7866,0.15,linear
with_abs,EMG+NIRS,lt2,S005,5.4885,5.925,5.6207,0.15,linear
with_abs,EMG+NIRS,lt2,S006,4.2825,3.39,4.3499,0.05,tcn
with_abs,EMG+NIRS,lt2,S008,2.8201,2.927,3.0543,0.05,tcn
with_abs,EMG+NIRS,lt2,S009,5.9836,6.0556,6.296,0.2,tcn
with_abs,EMG+NIRS,lt2,S010,2.3249,4.1615,2.506,0.2,linear
with_abs,EMG+NIRS,lt2,S011,3.9412,5.3173,3.7891,0.1,linear
with_abs,EMG+NIRS,lt2,S012,6.9341,2.3592,7.9627,0.15,tcn
with_abs,EMG+NIRS,lt2,S013,9.4015,4.9028,10.632,0.15,tcn
with_abs,EMG+NIRS,lt2,S014,2.5581,4.6016,2.3103,0.15,linear
with_abs,EMG+NIRS,lt2,S016,1.9004,3.4452,2.1054,0.1,linear
with_abs,EMG+NIRS,lt2,S017,4.774,5.5737,4.6903,0.2,linear
with_abs,EMG+NIRS,lt2,S018,2.4522,1.7206,2.736,0.15,tcn
with_abs,EMG+NIRS,lt2,S019,5.8831,5.3651,6.4773,0.15,tcn
noabs,EMG+NIRS,lt2,S001,3.8489,5.9526,3.5494,0.15,linear
noabs,EMG+NIRS,lt2,S002,3.8506,4.3521,4.3285,0.15,linear
noabs,EMG+NIRS,lt2,S003,8.9873,6.4202,9.5536,0.1,tcn
noabs,EMG+NIRS,lt2,S004,5.4846,4.9208,6.4584,0.2,tcn
noabs,EMG+NIRS,lt2,S005,4.8838,6.1023,4.7796,0.15,linear
noabs,EMG+NIRS,lt2,S006,3.2105,3.9953,3.1184,0.15,linear
noabs,EMG+NIRS,lt2,S008,0.8429,2.8348,1.013,0.2,linear
noabs,EMG+NIRS,lt2,S009,6.2659,5.7509,6.681,0.2,tcn
noabs,EMG+NIRS,lt2,S010,2.5347,4.328,2.5369,0.2,linear
noabs,EMG+NIRS,lt2,S011,3.5814,6.351,3.1113,0.15,linear
noabs,EMG+NIRS,lt2,S012,5.1831,2.3665,5.8672,0.15,tcn
noabs,EMG+NIRS,lt2,S013,8.3026,5.0054,9.3999,0.15,tcn
noabs,EMG+NIRS,lt2,S014,2.9353,4.4559,2.6945,0.2,linear
noabs,EMG+NIRS,lt2,S016,1.537,3.5089,1.6348,0.15,linear
noabs,EMG+NIRS,lt2,S017,3.3418,5.0813,3.0761,0.2,linear
noabs,EMG+NIRS,lt2,S018,2.273,1.8237,3.0348,0.2,tcn
noabs,EMG+NIRS,lt2,S019,4.429,5.4078,4.7425,0.15,linear
with_abs,EMG+NIRS+HRV,lt2,S001,4.4164,5.968,4.4029,0.05,linear
with_abs,EMG+NIRS+HRV,lt2,S002,2.0732,3.7554,2.1793,0.05,linear
with_abs,EMG+NIRS+HRV,lt2,S003,8.966,6.1219,8.966,0.0,tcn
with_abs,EMG+NIRS+HRV,lt2,S004,2.9611,4.2418,3.0559,0.05,linear
with_abs,EMG+NIRS+HRV,lt2,S005,1.7994,6.7464,1.7012,0.05,linear
with_abs,EMG+NIRS+HRV,lt2,S006,0.7603,4.0786,0.8343,0.05,linear
with_abs,EMG+NIRS+HRV,lt2,S008,1.9009,1.663,2.0522,0.05,tcn
with_abs,EMG+NIRS+HRV,lt2,S009,2.3839,4.3235,2.3461,0.05,linear
with_abs,EMG+NIRS+HRV,lt2,S010,2.7561,4.9687,2.7561,0.0,linear
with_abs,EMG+NIRS+HRV,lt2,S011,2.1954,5.0701,2.0441,0.05,linear
with_abs,EMG+NIRS+HRV,lt2,S012,3.1228,1.8336,3.2308,0.05,tcn
with_abs,EMG+NIRS+HRV,lt2,S013,2.5587,4.5247,2.8615,0.05,linear
with_abs,EMG+NIRS+HRV,lt2,S014,1.5821,4.3097,1.4895,0.05,linear
with_abs,EMG+NIRS+HRV,lt2,S016,1.7204,3.3294,1.7204,0.0,linear
with_abs,EMG+NIRS+HRV,lt2,S017,4.6907,5.265,4.6907,0.0,linear
with_abs,EMG+NIRS+HRV,lt2,S018,5.2841,4.0282,5.3502,0.05,tcn
with_abs,EMG+NIRS+HRV,lt2,S019,1.0917,4.399,1.0256,0.05,linear
noabs,EMG+NIRS+HRV,lt2,S001,2.7949,5.9853,2.7949,0.0,linear
noabs,EMG+NIRS+HRV,lt2,S002,1.2463,4.0744,1.2141,0.05,linear
noabs,EMG+NIRS+HRV,lt2,S003,8.5799,6.189,8.7982,0.05,tcn
noabs,EMG+NIRS+HRV,lt2,S004,3.0253,4.6138,3.2407,0.05,linear
noabs,EMG+NIRS+HRV,lt2,S005,1.3918,6.5434,1.3243,0.05,linear
noabs,EMG+NIRS+HRV,lt2,S006,2.4462,4.1199,2.577,0.05,linear
noabs,EMG+NIRS+HRV,lt2,S008,1.1137,1.942,1.2231,0.05,linear
noabs,EMG+NIRS+HRV,lt2,S009,3.4529,4.1195,3.3937,0.1,linear
noabs,EMG+NIRS+HRV,lt2,S010,2.4256,4.4393,2.3458,0.05,linear
noabs,EMG+NIRS+HRV,lt2,S011,1.1936,6.5807,1.1243,0.05,linear
noabs,EMG+NIRS+HRV,lt2,S012,2.4565,2.2734,2.5004,0.05,tcn
noabs,EMG+NIRS+HRV,lt2,S013,2.8491,4.3102,3.1988,0.1,linear
noabs,EMG+NIRS+HRV,lt2,S014,2.5242,4.4642,2.341,0.1,linear
noabs,EMG+NIRS+HRV,lt2,S016,3.0953,3.1862,3.0953,0.0,linear
noabs,EMG+NIRS+HRV,lt2,S017,2.9425,4.9367,2.9425,0.0,linear
noabs,EMG+NIRS+HRV,lt2,S018,5.3283,2.9218,5.4567,0.05,tcn
noabs,EMG+NIRS+HRV,lt2,S019,2.0243,4.6685,1.8309,0.1,linear
