version,variant,target,feature_set,status
v0101,with_abs,lt1,EMG,ok (n=18)
v0101,with_abs,lt1,NIRS,ok (n=18)
v0101,with_abs,lt1,EMG+NIRS,ok (n=18)
v0101,with_abs,lt1,EMG+NIRS+HRV,ok (n=18)
v0101,with_abs,lt2,EMG,ok (n=18)
v0101,with_abs,lt2,NIRS,ok (n=18)
v0101,with_abs,lt2,EMG+NIRS,ok (n=18)
v0101,with_abs,lt2,EMG+NIRS+HRV,ok (n=18)
v0101,noabs,lt1,EMG,ok (n=18)
v0101,noabs,lt1,NIRS,ok (n=18)
v0101,noabs,lt1,EMG+NIRS,ok (n=18)
v0101,noabs,lt1,EMG+NIRS+HRV,ok (n=18)
v0101,noabs,lt2,EMG,ok (n=18)
v0101,noabs,lt2,NIRS,ok (n=18)
v0101,noabs,lt2,EMG+NIRS,ok (n=18)
v0101,noabs,lt2,EMG+NIRS+HRV,ok (n=18)
v0102,with_abs,lt1,EMG,ok (n=18)
v0102,with_abs,lt1,NIRS,ok (n=18)
v0102,with_abs,lt1,EMG+NIRS,ok (n=18)
v0102,with_abs,lt1,EMG+NIRS+HRV,ok (n=18)
v0102,with_abs,lt2,EMG,ok (n=16)
v0102,with_abs,lt2,NIRS,ok (n=16)
v0102,with_abs,lt2,EMG+NIRS,ok (n=16)
v0102,with_abs,lt2,EMG+NIRS+HRV,ok (n=16)
v0102,noabs,lt1,EMG,ok (n=18)
v0102,noabs,lt1,NIRS,ok (n=18)
v0102,noabs,lt1,EMG+NIRS,ok (n=18)
v0102,noabs,lt1,EMG+NIRS+HRV,ok (n=18)
v0102,noabs,lt2,EMG,ok (n=16)
v0102,noabs,lt2,NIRS,ok (n=16)
v0102,noabs,lt2,EMG+NIRS,ok (n=16)
v0102,noabs,lt2,EMG+NIRS+HRV,ok (n=16)
v0103,with_abs,lt1,EMG,ok (n=18)
v0103,with_abs,lt1,NIRS,ok (n=18)
v0103,with_abs,lt1,EMG+NIRS,ok (n=18)
v0103,with_abs,lt1,EMG+NIRS+HRV,ok (n=18)
v0103,with_abs,lt2,EMG,ok (n=17)
v0103,with_abs,lt2,NIRS,ok (n=17)
v0103,with_abs,lt2,EMG+NIRS,ok (n=17)
v0103,with_abs,lt2,EMG+NIRS+HRV,ok (n=17)
v0103,noabs,lt1,EMG,ok (n=18)
v0103,noabs,lt1,NIRS,ok (n=18)
v0103,noabs,lt1,EMG+NIRS,ok (n=18)
v0103,noabs,lt1,EMG+NIRS+HRV,ok (n=18)
v0103,noabs,lt2,EMG,ok (n=17)
v0103,noabs,lt2,NIRS,ok (n=17)
v0103,noabs,lt2,EMG+NIRS,ok (n=17)
v0103,noabs,lt2,EMG+NIRS+HRV,ok (n=17)
v0104,with_abs,lt1,EMG,ok (n=18)
v0104,with_abs,lt1,NIRS,ok (n=18)
v0104,with_abs,lt1,EMG+NIRS,ok (n=18)
v0104,with_abs,lt1,EMG+NIRS+HRV,ok (n=18)
v0104,with_abs,lt2,EMG,ok (n=17)
v0104,with_abs,lt2,NIRS,ok (n=17)
v0104,with_abs,lt2,EMG+NIRS,ok (n=17)
v0104,with_abs,lt2,EMG+NIRS+HRV,ok (n=17)
v0104,noabs,lt1,EMG,ok (n=18)
v0104,noabs,lt1,NIRS,ok (n=18)
v0104,noabs,lt1,EMG+NIRS,ok (n=18)
v0104,noabs,lt1,EMG+NIRS+HRV,ok (n=18)
v0104,noabs,lt2,EMG,ok (n=17)
v0104,noabs,lt2,NIRS,ok (n=17)
v0104,noabs,lt2,EMG+NIRS,ok (n=17)
v0104,noabs,lt2,EMG+NIRS+HRV,ok (n=17)
v0105,with_abs,lt1,EMG,ok (n=18)
v0105,with_abs,lt1,NIRS,ok (n=18)
v0105,with_abs,lt1,EMG+NIRS,ok (n=18)
v0105,with_abs,lt1,EMG+NIRS+HRV,ok (n=18)
v0105,with_abs,lt2,EMG,ok (n=16)
v0105,with_abs,lt2,NIRS,ok (n=16)
v0105,with_abs,lt2,EMG+NIRS,ok (n=16)
v0105,with_abs,lt2,EMG+NIRS+HRV,ok (n=16)
v0105,noabs,lt1,EMG,ok (n=18)
v0105,noabs,lt1,NIRS,ok (n=18)
v0105,noabs,lt1,EMG+NIRS,ok (n=18)
v0105,noabs,lt1,EMG+NIRS+HRV,ok (n=18)
v0105,noabs,lt2,EMG,ok (n=16)
v0105,noabs,lt2,NIRS,ok (n=16)
v0105,noabs,lt2,EMG+NIRS,ok (n=16)
v0105,noabs,lt2,EMG+NIRS+HRV,ok (n=16)
v0106a,with_abs,lt1,EMG,ok (n=18)
v0106a,with_abs,lt1,NIRS,ok (n=18)
v0106a,with_abs,lt1,EMG+NIRS,ok (n=18)
v0106a,with_abs,lt1,EMG+NIRS+HRV,ok (n=18)
v0106a,with_abs,lt2,EMG,ok (n=17)
v0106a,with_abs,lt2,NIRS,ok (n=17)
v0106a,with_abs,lt2,EMG+NIRS,ok (n=17)
v0106a,with_abs,lt2,EMG+NIRS+HRV,ok (n=17)
v0106a,noabs,lt1,EMG,ok (n=18)
v0106a,noabs,lt1,NIRS,ok (n=18)
v0106a,noabs,lt1,EMG+NIRS,ok (n=18)
v0106a,noabs,lt1,EMG+NIRS+HRV,ok (n=18)
v0106a,noabs,lt2,EMG,ok (n=17)
v0106a,noabs,lt2,NIRS,ok (n=17)
v0106a,noabs,lt2,EMG+NIRS,ok (n=17)
v0106a,noabs,lt2,EMG+NIRS+HRV,ok (n=17)
v0106b,with_abs,lt1,EMG,ok (n=18)
v0106b,with_abs,lt1,NIRS,ok (n=18)
v0106b,with_abs,lt1,EMG+NIRS,ok (n=18)
v0106b,with_abs,lt1,EMG+NIRS+HRV,ok (n=18)
v0106b,with_abs,lt2,EMG,ok (n=17)
v0106b,with_abs,lt2,NIRS,ok (n=17)
v0106b,with_abs,lt2,EMG+NIRS,ok (n=17)
v0106b,with_abs,lt2,EMG+NIRS+HRV,ok (n=17)
v0106b,noabs,lt1,EMG,ok (n=18)
v0106b,noabs,lt1,NIRS,ok (n=18)
v0106b,noabs,lt1,EMG+NIRS,ok (n=18)
v0106b,noabs,lt1,EMG+NIRS+HRV,ok (n=18)
v0106b,noabs,lt2,EMG,ok (n=17)
v0106b,noabs,lt2,NIRS,ok (n=17)
v0106b,noabs,lt2,EMG+NIRS,ok (n=17)
v0106b,noabs,lt2,EMG+NIRS+HRV,ok (n=17)
v0106c,with_abs,lt1,EMG,ok (n=18)
v0106c,with_abs,lt1,NIRS,ok (n=18)
v0106c,with_abs,lt1,EMG+NIRS,ok (n=18)
v0106c,with_abs,lt1,EMG+NIRS+HRV,ok (n=18)
v0106c,with_abs,lt2,EMG,ok (n=17)
v0106c,with_abs,lt2,NIRS,ok (n=17)
v0106c,with_abs,lt2,EMG+NIRS,ok (n=17)
v0106c,with_abs,lt2,EMG+NIRS+HRV,ok (n=17)
v0106c,noabs,lt1,EMG,ok (n=18)
v0106c,noabs,lt1,NIRS,ok (n=18)
v0106c,noabs,lt1,EMG+NIRS,ok (n=18)
v0106c,noabs,lt1,EMG+NIRS+HRV,ok (n=18)
v0106c,noabs,lt2,EMG,ok (n=17)
v0106c,noabs,lt2,NIRS,ok (n=17)
v0106c,noabs,lt2,EMG+NIRS,ok (n=17)
v0106c,noabs,lt2,EMG+NIRS+HRV,ok (n=17)
v0107,with_abs,lt1,EMG,ok (n=18)
v0107,with_abs,lt1,NIRS,ok (n=18)
v0107,with_abs,lt1,EMG+NIRS,ok (n=18)
v0107,with_abs,lt1,EMG+NIRS+HRV,ok (n=18)
v0107,with_abs,lt2,EMG,ok (n=17)
v0107,with_abs,lt2,NIRS,ok (n=17)
v0107,with_abs,lt2,EMG+NIRS,ok (n=17)
v0107,with_abs,lt2,EMG+NIRS+HRV,ok (n=17)
v0107,noabs,lt1,EMG,ok (n=18)
v0107,noabs,lt1,NIRS,ok (n=18)
v0107,noabs,lt1,EMG+NIRS,ok (n=18)
v0107,noabs,lt1,EMG+NIRS+HRV,ok (n=18)
v0107,noabs,lt2,EMG,ok (n=17)
v0107,noabs,lt2,NIRS,ok (n=17)
v0107,noabs,lt2,EMG+NIRS,ok (n=17)
v0107,noabs,lt2,EMG+NIRS+HRV,ok (n=17)
v0011,with_abs,lt1,EMG,ok (n=18)
v0011,with_abs,lt1,NIRS,ok (n=18)
v0011,with_abs,lt1,EMG+NIRS,ok (n=18)
v0011,with_abs,lt1,EMG+NIRS+HRV,ok (n=18)
v0011,with_abs,lt1,HRV,ok (n=18)
v0011,with_abs,lt2,EMG,ok (n=18)
v0011,with_abs,lt2,NIRS,ok (n=18)
v0011,with_abs,lt2,EMG+NIRS,ok (n=18)
v0011,with_abs,lt2,EMG+NIRS+HRV,ok (n=18)
v0011,with_abs,lt2,HRV,ok (n=18)
v0011,noabs,lt1,EMG,ok (n=18)
v0011,noabs,lt1,NIRS,ok (n=18)
v0011,noabs,lt1,EMG+NIRS,ok (n=18)
v0011,noabs,lt1,EMG+NIRS+HRV,ok (n=18)
v0011,noabs,lt1,HRV,ok (n=18)
v0011,noabs,lt2,EMG,ok (n=18)
v0011,noabs,lt2,NIRS,ok (n=18)
v0011,noabs,lt2,EMG+NIRS,ok (n=18)
v0011,noabs,lt2,EMG+NIRS+HRV,ok (n=18)
v0011,noabs,lt2,HRV,ok (n=18)
