feature,mean_abs_shap,group,share_pct
hrv_mean_rr_ms,73.5355,HRV,9.1
feat_rr_per_watt,53.5426,interaction,6.6
feat_smo2_x_rr,43.7519,interaction,5.4
trainred_hbdiff_std,33.9038,NIRS,4.2
hrv_dfa_alpha1,33.4038,HRV,4.1
trainred_hhb_std,25.6623,NIRS,3.2
trainred_smo2_std,22.78,NIRS,2.8
z_vl_dist_load_wavelet_entropy,21.2642,EMG,2.6
trainred_hbdiff_mean,21.1519,NIRS,2.6
trainred_smo2_mean,20.526,NIRS,2.5
feat_smo2_x_dfa,19.5965,interaction,2.4
z_vl_dist_load_rms,19.3027,EMG,2.4
trainred_thb_std,18.9494,NIRS,2.3
z_vl_dist_load_zcr,17.5869,EMG,2.2
trainred_smo2_drop,15.7649,NIRS,2.0
hrv_sd1_sd2_ratio,15.7477,HRV,2.0
z_vl_dist_rest_p_high,13.5624,EMG,1.7
z_vl_dist_rest_ratio_mid_high,13.2719,EMG,1.6
hhb_from_running_min,12.9194,NIRS,1.6
z_vl_dist_load_e_d5,12.6007,EMG,1.6
z_vl_dist_load_e_d4,12.1543,EMG,1.5
z_vl_dist_rest_zcr,12.1351,EMG,1.5
z_vl_prox_rest_p_low,11.179,EMG,1.4
z_vl_prox_load_e_d5,11.0881,EMG,1.4
z_vl_prox_rest_mav,10.2256,EMG,1.3
z_load_duration_ms,10.0212,kinematics,1.2
z_vl_prox_load_p_mid,9.8079,EMG,1.2
z_vl_prox_rest_p_mid,9.646,EMG,1.2
z_vl_prox_load_rms,7.9601,EMG,1.0
z_vl_prox_rest_zcr,7.844,EMG,1.0
z_vl_prox_rest_ratio_mid_high,7.5883,EMG,0.9
z_vl_prox_load_mdf,7.3103,EMG,0.9
z_vl_prox_load_ratio_mid_high,6.9992,EMG,0.9
trainred_hhb_mean,6.8598,NIRS,0.9
hrv_sd2_ms,6.8104,HRV,0.8
z_vl_prox_load_rms_cv,6.6458,EMG,0.8
z_vl_dist_rest_wavelet_entropy,6.3908,EMG,0.8
z_vl_prox_load_e_d4,6.1018,EMG,0.8
hrv_sdnn_ms,5.8633,HRV,0.7
z_vl_prox_load_mnf,5.7284,EMG,0.7
z_vl_dist_rest_ratio_low_high,5.6475,EMG,0.7
smo2_rel_drop_pct,5.6322,NIRS,0.7
z_vl_dist_load_e_d3,5.5123,EMG,0.7
z_vl_prox_load_zcr,5.353,EMG,0.7
smo2_from_running_max,5.305,NIRS,0.7
z_vl_prox_load_e_d2,5.1659,EMG,0.6
z_vl_dist_load_p_mid,4.9343,EMG,0.6
z_vl_prox_rest_ratio_low_high,4.2244,EMG,0.5
z_cadence_mean_rpm,4.1422,kinematics,0.5
z_vl_prox_load_e_d3,3.8979,EMG,0.5
z_vl_prox_load_ratio_low_high,3.8385,EMG,0.5
hrv_rmssd_ms,3.7912,HRV,0.5
hrv_sd1_ms,3.7912,HRV,0.5
z_vl_prox_rest_e_d2,3.775,EMG,0.5
z_rest_duration_cv,3.4905,kinematics,0.4
z_vl_prox_load_wl,3.3612,EMG,0.4
z_vl_dist_rest_p_mid,3.2459,EMG,0.4
z_vl_prox_rest_wavelet_entropy,3.2396,EMG,0.4
z_vl_dist_rest_mdf,2.5925,EMG,0.3
z_vl_dist_load_mdf,2.4434,EMG,0.3
z_vl_dist_load_ratio_mid_high,2.4106,EMG,0.3
z_vl_prox_rest_mnf,2.1721,EMG,0.3
z_vl_prox_load_p_low,2.1508,EMG,0.3
z_vl_dist_rest_wl,2.1233,EMG,0.3
z_vl_prox_rest_e_d3,2.0774,EMG,0.3
z_load_rest_ratio,2.0093,kinematics,0.2
z_load_duration_cv,1.8426,kinematics,0.2
z_rest_sampen_30s,1.8111,kinematics,0.2
z_vl_prox_rest_rms,1.8063,EMG,0.2
z_rest_duration_ms,1.7793,kinematics,0.2
z_load_sampen_30s,1.7032,kinematics,0.2
z_vl_dist_rest_mnf,1.7004,EMG,0.2
z_vl_dist_load_e_d2,1.5446,EMG,0.2
z_vl_dist_load_p_high,1.5034,EMG,0.2
z_vl_dist_load_mnf,1.2625,EMG,0.2
z_vl_prox_rest_mdf,1.2175,EMG,0.2
z_vl_prox_rest_rms_cv,1.1334,EMG,0.1
z_vl_dist_rest_rms_cv,1.1049,EMG,0.1
z_vl_dist_rest_mav,1.0429,EMG,0.1
trainred_hbdiff_slope,0.9771,NIRS,0.1
z_vl_prox_rest_wl,0.9577,EMG,0.1
z_cadence_cv,0.9446,kinematics,0.1
z_load_trend_cv_ratio_30s,0.9319,kinematics,0.1
z_vl_prox_load_p_high,0.8673,EMG,0.1
z_vl_dist_load_p_low,0.8466,EMG,0.1
trainred_thb_slope,0.8414,NIRS,0.1
z_vl_dist_load_mav,0.8137,EMG,0.1
z_vl_dist_load_ratio_low_high,0.7644,EMG,0.1
z_vl_prox_load_mav,0.6051,EMG,0.1
z_vl_dist_load_wl,0.5906,EMG,0.1
z_vl_prox_rest_p_high,0.5362,EMG,0.1
trainred_thb_mean,0.4922,NIRS,0.1
trainred_dsmo2_dt,0.4882,NIRS,0.1
trainred_smo2_slope,0.4882,NIRS,0.1
z_vl_dist_rest_p_low,0.3373,EMG,0.0
z_vl_dist_rest_e_d4,0.3218,EMG,0.0
z_vl_dist_rest_e_d2,0.3102,EMG,0.0
z_vl_dist_rest_e_d3,0.3077,EMG,0.0
z_vl_dist_load_rms_cv,0.2706,EMG,0.0
z_vl_prox_load_wavelet_entropy,0.253,EMG,0.0
z_vl_prox_rest_e_d5,0.2114,EMG,0.0
z_vl_prox_rest_e_d4,0.1934,EMG,0.0
trainred_hhb_slope,0.189,NIRS,0.0
trainred_dhhb_dt,0.189,NIRS,0.0
z_vl_dist_rest_rms,0.1795,EMG,0.0
z_rest_trend_cv_ratio_30s,0.0662,kinematics,0.0
z_vl_dist_rest_e_d5,0.0162,EMG,0.0
